ID,Fecha,Tipo_Planta,Especie,Dataset,Epoca,Loss_Train,Loss_Val,Accuracy,Prediccion,Confianza,Correcta,Ubicacion,Temperatura,Humedad,Precision,Recall,F1_Score
1,2025-04-25,Arbol,Quercus robur,Test,5,0.2,0.122,0.828,Quercus robur,0.623,1,Bosque Sur,31.7,70.1,0.971,0.911,0.94
2,2025-09-08,Arbol,Quercus robur,Validation,12,0.258,0.137,0.833,Quercus robur,0.672,1,Cultivo Sur,17.6,66.2,0.804,0.963,0.876
3,2025-04-15,Arbol,Quercus robur,Test,26,0.085,0.159,0.866,Quercus robur,0.778,1,Bosque Sur,29.6,50.0,0.852,0.885,0.868
4,2025-03-31,Arbol,Quercus robur,Test,23,0.202,0.126,0.812,Quercus robur,0.97,1,Jardin Botanico,34.1,80.4,0.907,0.76,0.827
5,2025-01-31,Arbol,Quercus robur,Train,7,0.16,0.113,0.889,Quercus robur,0.613,1,Cultivo Sur,32.7,52.9,0.818,0.901,0.857
6,2026-06-02,Arbol,Quercus robur,Train,24,0.187,0.13,0.975,Quercus robur,0.902,1,Bosque Norte,33.5,84.7,0.856,0.864,0.86
7,2025-07-23,Arbol,Quercus robur,Test,27,0.099,0.092,0.859,Quercus robur,0.752,1,Bosque Sur,16.8,81.4,0.966,0.769,0.857
8,2026-07-13,Arbol,Quercus robur,Test,18,0.085,0.297,0.813,Quercus robur,0.985,1,Cultivo Sur,29.3,49.9,0.851,0.869,0.86
9,2026-08-27,Arbol,Quercus robur,Validation,13,0.232,0.288,0.813,Quercus robur,0.74,1,Bosque Norte,12.9,83.2,0.947,0.906,0.926
10,2026-12-16,Arbol,Quercus robur,Train,18,0.128,0.168,0.931,Quercus robur,0.849,1,Parque Central,32.2,63.6,0.86,0.764,0.809
11,2025-06-09,Arbol,Quercus robur,Validation,11,0.19,0.288,0.889,Quercus robur,0.804,1,Parque Central,20.7,41.3,0.928,0.917,0.923
12,2025-04-05,Arbol,Quercus robur,Train,17,0.129,0.217,0.963,Quercus robur,0.697,1,Bosque Norte,20.3,77.8,0.806,0.89,0.846
13,2025-12-19,Arbol,Quercus robur,Validation,24,0.09,0.331,0.945,Quercus robur,0.847,1,Parque Central,31.8,80.2,0.814,0.814,0.814
14,2026-04-16,Arbol,Quercus robur,Train,22,0.252,0.322,0.857,Quercus robur,0.643,1,Bosque Norte,15.7,61.4,0.961,0.869,0.912
15,2025-03-22,Arbol,Quercus robur,Validation,22,0.178,0.193,0.84,Quercus robur,0.647,1,Parque Central,18.4,87.1,0.955,0.752,0.841
16,2026-09-26,Arbol,Quercus robur,Test,16,0.141,0.342,0.973,Quercus robur,0.698,1,Cultivo Este,22.4,55.0,0.893,0.905,0.899
17,2026-12-23,Arbol,Quercus robur,Train,7,0.176,0.094,0.85,Quercus robur,0.954,1,Bosque Norte,16.0,47.2,0.807,0.884,0.844
18,2025-08-22,Arbol,Quercus robur,Test,29,0.218,0.286,0.843,Quercus robur,0.884,1,Parque Central,19.2,71.6,0.977,0.803,0.882
19,2025-08-27,Arbol,Quercus robur,Train,8,0.259,0.167,0.834,Quercus robur,0.616,1,Jardin Botanico,24.8,73.9,0.896,0.77,0.828
20,2026-04-10,Arbol,Quercus robur,Validation,25,0.211,0.127,0.924,Quercus robur,0.751,1,Parque Central,33.4,46.9,0.892,0.8,0.843
21,2026-01-15,Arbol,Quercus robur,Train,16,0.269,0.15,0.919,Quercus robur,0.919,1,Cultivo Sur,23.9,66.5,0.82,0.953,0.882
22,2025-10-01,Arbol,Quercus robur,Test,27,0.275,0.251,0.861,Quercus robur,0.736,1,Bosque Sur,28.1,84.9,0.817,0.947,0.877
23,2026-09-16,Arbol,Quercus robur,Test,25,0.071,0.124,0.962,Cedrus atlantica,0.837,0,Cultivo Sur,10.2,45.1,0.94,0.891,0.915
24,2025-09-08,Arbol,Quercus robur,Test,10,0.187,0.267,0.917,Quercus robur,0.687,1,Jardin Botanico,27.8,51.9,0.801,0.785,0.793
25,2025-10-04,Arbol,Quercus robur,Validation,25,0.262,0.258,0.902,Quercus robur,0.637,1,Bosque Sur,19.2,53.3,0.934,0.893,0.913
26,2025-08-13,Arbol,Quercus robur,Test,26,0.273,0.25,0.943,Quercus robur,0.796,1,Parque Central,24.4,64.6,0.975,0.836,0.901
27,2025-08-23,Arbol,Quercus robur,Train,6,0.056,0.254,0.832,Quercus robur,0.967,1,Parque Central,33.8,85.7,0.93,0.812,0.867
28,2025-10-02,Arbol,Quercus robur,Validation,7,0.157,0.341,0.973,Quercus robur,0.933,1,Cultivo Sur,17.4,59.3,0.803,0.954,0.872
29,2025-11-19,Arbol,Quercus robur,Test,11,0.189,0.333,0.925,Quercus robur,0.822,1,Bosque Sur,12.4,70.8,0.857,0.787,0.821
30,2026-10-21,Arbol,Quercus robur,Validation,19,0.269,0.28,0.925,Vitis vinifera,0.874,0,Cultivo Sur,19.0,54.7,0.825,0.864,0.844
31,2025-05-23,Arbol,Quercus robur,Validation,12,0.278,0.218,0.89,Quercus robur,0.911,1,Bosque Sur,26.2,75.1,0.946,0.941,0.943
32,2026-07-06,Arbol,Quercus robur,Test,13,0.144,0.105,0.904,Quercus robur,0.614,1,Bosque Sur,21.6,67.1,0.96,0.824,0.887
33,2026-03-15,Arbol,Quercus robur,Test,23,0.059,0.302,0.865,Quercus robur,0.65,1,Jardin Botanico,23.1,78.5,0.906,0.757,0.825
34,2025-08-13,Arbol,Quercus robur,Validation,9,0.063,0.223,0.897,Quercus robur,0.849,1,Cultivo Este,28.2,88.8,0.912,0.769,0.834
